ticker,quarter,report_period,fiscal_period,document_kind,form_type,title,official_page_url,source_url,final_url,file_name,local_path,content_type,bytes,sha256,status,note,accession_number,filing_date
AMZN,2024Q4,2024-12-31,2024-Q4,sec_filing_pdf,10-K,10-K,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2024/q4/e42c2068-bad5-4ab6-ae57-36ff8b2aeffd.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2024/q4/e42c2068-bad5-4ab6-ae57-36ff8b2aeffd.pdf,AMZN_2024Q4_2024-Q4_sec_filing_pdf_10-k.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2024Q4_2024-Q4_sec_filing_pdf_10-k.pdf,application/pdf,754569,5b582c59f1d1fa81d5112c9e0b9aa87afdbc9f42418daace257bc360e0f61ef7,downloaded,,,
AMZN,2025Q1,2025-03-31,2025-Q1,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-First-Quarter-Results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-First-Quarter-Results/default.aspx,AMZN_2025Q1_2025-Q1_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2025Q1_2025-Q1_earnings_release_html_earnings-release.html,text/html,521578,b5ce9ff904618af990b635171e3eeef9f5eb56012b853887fb88b79cba259d94,downloaded,,,
AMZN,2025Q1,2025-03-31,2025-Q1,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,AMZN_2025Q1_2025-Q1_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2025Q1_2025-Q1_sec_filing_html_10-q.html,text/html,1139537,343daf57ea75cf87da844a0e3e6924d6d24e924cf9e5ce18b44c1147c15d80dd,downloaded,,0001018724-25-000036,2025-05-02
AMZN,2025Q1,2025-03-31,2025-Q1,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2025/q1/60f38b5c-f06a-41ed-8ddd-eb38eb4b8756.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2025/q1/60f38b5c-f06a-41ed-8ddd-eb38eb4b8756.pdf,AMZN_2025Q1_2025-Q1_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2025Q1_2025-Q1_sec_filing_pdf_10-q.pdf,application/pdf,486296,a06e0bf6d1ba3aac6b82958c381af08b4d476677484170264f6ae8d64fc4fe67,downloaded,,,
AMZN,2025Q2,2025-06-30,2025-Q2,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Second-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Second-Quarter-Results/,AMZN_2025Q2_2025-Q2_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2025Q2_2025-Q2_earnings_release_html_earnings-release.html,text/html,632194,dff477a7910d7bc800e357df8a8cf7c1fc0a2bec9d6e21e9d2843e47762cdc85,downloaded,,,
AMZN,2025Q2,2025-06-30,2025-Q2,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,AMZN_2025Q2_2025-Q2_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2025Q2_2025-Q2_sec_filing_html_10-q.html,text/html,1387163,20ac2d1a3d933f444a3571f053e072aab804923b9bac4982cd382d23d9bb7be7,downloaded,,0001018724-25-000086,2025-08-01
AMZN,2025Q2,2025-06-30,2025-Q2,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2025/q2/ec928e37-9d69-4f96-b0ab-b40020515e03.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2025/q2/ec928e37-9d69-4f96-b0ab-b40020515e03.pdf,AMZN_2025Q2_2025-Q2_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2025Q2_2025-Q2_sec_filing_pdf_10-q.pdf,application/pdf,508966,d960b7dd1f39d4e544ed45b8d034b74452cf6fd6e7dc9b630739e7941e775bbe,downloaded,,,
AMZN,2025Q3,2025-09-30,2025-Q3,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Third-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Third-Quarter-Results/,AMZN_2025Q3_2025-Q3_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2025Q3_2025-Q3_earnings_release_html_earnings-release.html,text/html,691546,906f5c8aaff3a1148da48aefd6c5cdf754052e1859cb2b6bbc9033aca196b2f6,downloaded,,,
AMZN,2025Q3,2025-09-30,2025-Q3,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,AMZN_2025Q3_2025-Q3_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2025Q3_2025-Q3_sec_filing_html_10-q.html,text/html,1405879,edd6f71c9881b674c11ac9fc31a95a6946533133af1fcb5a322af2a78db109d2,downloaded,,0001018724-25-000123,2025-10-31
AMZN,2025Q3,2025-09-30,2025-Q3,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/ee1ea675-6da1-44dc-a47c-a054d403c955.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/ee1ea675-6da1-44dc-a47c-a054d403c955.pdf,AMZN_2025Q3_2025-Q3_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2025Q3_2025-Q3_sec_filing_pdf_10-q.pdf,application/pdf,1168281,1721dc35f71b029e0a78d1f8a403e7689b5a83510544c5ab0cb8e424c11c1807,downloaded,,,
AMZN,2025Q4,2025-12-31,2025-Q4,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/,AMZN_2025Q4_2025-Q4_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2025Q4_2025-Q4_earnings_release_html_earnings-release.html,text/html,585934,521f49185381cf22e363d1d13882070d9df89b9995977f9efd32355ad52de57c,downloaded,,,
AMZN,2025Q4,2025-12-31,2025-Q4,sec_filing_html,10-K,10-K,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,AMZN_2025Q4_2025-Q4_sec_filing_html_10-k.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2025Q4_2025-Q4_sec_filing_html_10-k.html,text/html,1968342,beb1bfc28558135e76882db0cf36ba72a1ab44e2144fe37534f4da1e120ddb57,downloaded,,0001018724-26-000004,2026-02-06
AMZN,2025Q4,2025-12-31,2025-Q4,sec_filing_pdf,10-K,10-K,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/85f3e1a7-bdb4-428e-a980-90bad4117b3d.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/85f3e1a7-bdb4-428e-a980-90bad4117b3d.pdf,AMZN_2025Q4_2025-Q4_sec_filing_pdf_10-k.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2025Q4_2025-Q4_sec_filing_pdf_10-k.pdf,application/pdf,750688,2fc39243213f0c15e5e128c5600b37ce161a0a58f818070bc0e6af2ed1a44857,downloaded,,,
AMZN,2026Q1,2026-03-31,2026-Q1,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/,AMZN_2026Q1_2026-Q1_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2026Q1_2026-Q1_earnings_release_html_earnings-release.html,text/html,531799,9dd5b0cfa2d88e1f879b465969d6abd0c3355aef4dcada8ffee891f1154bea6a,downloaded,,,
AMZN,2026Q1,2026-03-31,2026-Q1,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,AMZN_2026Q1_2026-Q1_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2026Q1_2026-Q1_sec_filing_html_10-q.html,text/html,1241244,bfc025c92bd7ed07daac4210020764854242103002ac7bb59ccb28bf058f04e3,downloaded,,0001018724-26-000014,2026-04-30
AMZN,2026Q1,2026-03-31,2026-Q1,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/e5b7de6a-55b0-4300-b981-4e5a8857972d.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001018724/e5b7de6a-55b0-4300-b981-4e5a8857972d.pdf,AMZN_2026Q1_2026-Q1_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2026Q1_2026-Q1_sec_filing_pdf_10-q.pdf,application/pdf,555668,4fbecf1f0293ed3250e5791a886e289f4b2d5291a6e93b0e86e4a1e8fa52d520,downloaded,,,
